"","houses","numocc","numFem","numMale","oldest","youngest","headsex","headage","net","under5","under1","under18","periph","lat","lon","hspray","site","elev","lang"
"1333","KBK_6_0039",5,2,3,54.86,9.82,"M",54.86,0,0,0,2,0,0.222033,34.97815,0,1,1825,4
"1334","KBK_6_0028",4,4,0,41.85,12.83,"F",41.85,0,0,0,2,0,0.222083,34.979583,0,1,1854,4
"1335","KBK_6_0030",4,3,1,40.85,3.82,"M",40.85,0,1,0,2,0,0.2221,34.979917,0,1,1865,4
"1336","KBK_6_0037",4,1,3,87.88,11.83,"M",87.88,0,0,0,2,0,0.222333,34.978867,0,1,1838,4
"1337","KBK_6_0029",1,1,0,70.87,70.87,"F",70.87,0,0,0,0,0,0.222417,34.979733,0,1,1856,4
"1338","KBK_6_0031",8,4,4,37.84,0.82,"M",37.84,0,2,1,6,0,0.222517,34.98035,0,1,1872,4
"1339","KBK_6_0038",9,3,6,58.86,2.82,"M",58.86,0,2,0,4,0,0.2226,34.9785,0,1,1830,4
"1340","KBK_6_0042",5,1,4,29.84,0.82,"M",29.84,2,2,1,3,0,0.222733,34.977583,0,1,1804,5
"1341","KBK_6_0040",8,4,4,78.87,5.82,"M",78.87,0,0,0,3,0,0.222767,34.977983,0,1,1812,5
"1342","KBK_6_0041",5,3,2,33.84,0.82,"M",33.84,0,2,1,3,0,0.222833,34.977733,0,1,1809,5
"1343","KBK_6_0036",6,1,5,81.87,4.82,"M",55.86,0,1,0,3,0,0.222917,34.97995,0,1,1860,4
"1344","KBK_6_0032",4,2,2,38.85,1.82,"M",38.85,0,2,0,2,0,0.223083,34.980483,0,1,1882,4
"1345","KBK_6_0023",3,1,2,58.86,18.83,"M",58.86,0,0,0,0,0,0.2231,34.975867,0,1,1780,4
"1346","KBK_6_0035",4,2,2,65.86,5.82,"M",65.86,3,0,0,2,0,0.223217,34.979767,0,1,1863,4
"1347","KBK_6_0033",5,2,3,35.84,1.82,"M",35.84,0,1,0,3,0,0.223233,34.980583,0,1,1889,4
"1348","KBK_6_0034",6,3,3,32.84,3.82,"M",32.84,0,1,0,4,0,0.223367,34.980017,0,1,1869,4
"1349","KBK_4_0086",4,2,2,58.85,15.82,"M",58.85,0,0,0,1,0,0.223433,34.976467,0,1,1786,4
"1350","KBK_6_0058",5,2,3,37.84,1.82,"M",37.84,0,2,0,3,0,0.223483,34.983933,0,1,2115,5
"1351","KBK_6_0024",7,3,4,36.84,2.82,"M",36.84,0,1,0,5,0,0.2236,34.975333,0,1,1765,4
"1352","KBK_6_0022",1,1,0,83.88,83.88,"F",83.88,0,0,0,0,0,0.2238,34.975867,0,1,1775,4
"1353","KBK_6_0059",1,1,0,30.84,30.84,"F",30.84,0,0,0,0,0,0.223817,34.983483,0,1,2105,5
"1354","KBK_8_0047",6,3,3,49.92,8.89,"M",49.92,0,0,0,4,0,0.224083,34.967117,0,1,1700,4
"1355","KBK_5_0027A",3,2,1,31.94,0.92,"M",31.94,0,1,1,1,0,0.2244,34.978533,0,1,1818,4
"1356","KBK_5_0033",2,1,1,65.93,35.91,"F",65.93,0,0,0,0,0,0.224517,34.98025,0,1,1866,4
"1357","KBK_5_0032",4,3,1,44.91,9.89,"F",44.91,0,0,0,2,0,0.22455,34.979317,0,1,1851,4
"1358","KBK_5_0028A",3,3,0,60.96,7.92,"F",60.96,0,0,0,2,0,0.224583,34.978617,0,1,1823,4
"1359","KBK_5_0030A",6,5,1,59.96,8.92,"M",59.96,0,0,0,3,0,0.224667,34.9788,0,1,1834,4
"1360","KBK_5_0029A",2,2,0,62.96,7.92,"F",62.96,0,0,0,1,0,0.224733,34.97855,0,1,1827,4
"1361","KBK_4_0085",6,2,4,45.84,3.82,"M",45.84,0,1,0,4,0,0.2248,34.97605,0,1,1780,4
"1362","KBK_5_0043",1,1,0,64.93,64.93,"F",64.93,0,0,0,0,0,0.22555,34.979067,0,1,1837,4
"1363","KBK_5_0034",2,2,0,38.91,14.89,"F",38.91,0,0,0,1,0,0.225567,34.979567,0,1,1855,4
"1364","KBK_4_0089",4,2,2,82.94,5.88,"M",82.94,0,0,0,2,0,0.2257,34.97545,0,1,1774,4
"1365","KBK_8_0048",5,2,3,80.94,1.88,"M",80.94,0,1,0,1,0,0.225717,34.965583,0,1,1672,4
"1366","KBK_8_0049",8,4,4,50.92,0.88,"M",50.92,0,2,1,5,0,0.226033,34.9647,0,1,1660,4
"1367","KBK_5_0035",12,6,6,42.91,0.88,"M",42.91,0,3,1,7,0,0.22615,34.9793,0,1,1848,4
"1368","KBK_4_0087",5,3,2,29.9,1.88,"M",29.9,1,2,0,3,0,0.22625,34.972417,0,1,1718,4
"1369","KBK_6_0060",12,5,7,60.86,2.82,"M",60.86,1,2,0,8,0,0.226333,34.982933,0,1,2090,5
"1370","KBK_5_0040",4,1,3,32.9,9.89,"M",32.9,0,0,0,2,0,0.226633,34.980083,0,1,1897,4
"1371","KBK_5_0042",5,1,4,47.92,8.89,"F",47.92,0,0,0,4,0,0.226667,34.979433,0,1,1872,4
"1372","KBK_5_0037",6,3,3,48.92,1.88,"M",48.92,0,1,0,4,0,0.227317,34.979683,0,1,1882,4
"1373","KBK_5_0038",6,2,4,60.92,1.88,"M",60.92,2,1,0,3,0,0.227383,34.98005,0,1,1897,4
"1374","KBK_5_0039",4,2,2,60.92,2.88,"F",60.92,0,2,0,2,0,0.227717,34.979933,0,1,1893,4
"1375","KBK_1_0133",6,3,3,39.86,1.83,"M",39.86,0,2,0,4,0,0.227733,34.953433,0,1,1670,4
"1376","KBK_6_0062",6,2,4,41.85,2.82,"M",41.85,0,2,0,4,0,0.228933,34.982183,0,1,2049,4
"1377","KBK_5_0029",5,3,2,86.9,10.84,"M",86.9,0,0,0,3,0,0.229,34.9803,0,1,1936,4
"1378","KBK_5_0028",4,2,2,26.85,3.84,"F",26.85,0,2,0,3,0,0.22925,34.980417,0,1,1940,4
"1379","KBK_5_0027",5,3,2,26.85,0.84,"M",26.85,0,2,1,3,0,0.229333,34.980633,0,1,1952,4
"1380","KBK_4_0080",4,2,2,33.84,1.81,"M",33.84,0,2,0,2,0,0.22975,34.973833,0,1,1751,4
"1381","KBK_4_0083",4,1,3,33.84,3.82,"M",33.84,0,2,0,3,0,0.230183,34.974217,0,1,1757,4
"1382","KBK_4_0082",4,3,1,26.83,2.82,"M",26.83,0,2,0,2,0,0.230383,34.974217,0,1,1756,4
"1383","KBK_4_0081",5,4,1,70.86,5.82,"M",70.86,0,0,0,1,0,0.2304,34.97405,0,1,1754,4
"1384","KBK_3_0074",2,2,0,68.86,28.83,"F",68.86,0,0,0,0,0,0.23105,34.966683,0,1,1666,5
"1385","KBK_4_0077",1,1,0,70.86,70.86,"F",70.86,0,0,0,0,0,0.231217,34.97525,0,1,1771,4
"1386","KBK_4_0069",4,3,1,60.85,3.82,"M",60.85,0,1,0,2,0,0.231333,34.973483,0,1,1745,4
"1387","KBK_4_0072",3,1,2,28.83,3.82,"M",28.83,0,1,0,1,0,0.2314,34.97405,0,1,1752,4
"1388","KBK_4_0071",3,2,1,58.85,10.82,"F",58.85,0,0,0,2,0,0.231483,34.974083,0,1,1753,4
"1389","KBK_4_0079",1,1,0,46.85,46.85,"F",46.85,1,0,0,0,0,0.231517,34.97485,0,1,1767,4
"1390","KBK_4_0070",4,3,1,30.84,3.82,NA,NA,0,1,0,3,0,0.231617,34.97365,0,1,1748,4
"1391","KBK_2_0115",4,2,2,36.91,2.88,"M",36.91,0,1,0,2,0,0.231967,34.963517,0,1,1675,4
"1392","KBK_1_0150",8,3,5,36.91,0.88,"M",36.91,1,2,1,5,1,0.23215,34.9604,0,1,1662,4
"1393","KBK_4_0074",4,3,1,29.83,3.82,NA,NA,0,1,0,3,0,0.2322,34.974867,0,1,1764,4
"1394","KBK_3_0095",3,2,1,29.83,6.82,"M",29.83,0,0,0,1,0,0.23235,34.970533,0,1,1735,4
"1395","KBK_4_0075",1,1,0,58.85,58.85,"F",58.85,0,0,0,0,0,0.232417,34.975417,0,1,1776,5
"1396","KBK_4_0076",3,1,2,62.86,9.82,"F",62.86,0,0,0,1,0,0.232583,34.975583,0,1,1783,4
"1397","KBK_1_0147",7,1,6,46.92,2.88,"M",46.92,7,2,0,4,0,0.232933,34.9565,0,1,1698,4
"1398","KBK_1_0143",6,4,2,35.91,2.88,"F",35.91,0,1,0,5,0,0.233067,34.96,0,1,1669,4
"1399","KBK_3_0094",4,2,2,49.85,5.82,"F",49.85,0,0,0,3,0,0.23315,34.970267,0,1,1739,4
"1400","KBK_3_0093",5,1,4,32.84,1.81,"M",32.84,0,2,0,3,0,0.2333,34.96955,0,1,1723,4
"1401","KBK_1_0149",5,3,2,54.92,2.88,"M",40.91,0,2,0,2,0,0.2333,34.959,0,1,1680,4
"1402","KBK_1_0148",10,8,2,70.93,3.88,"M",70.93,0,1,0,5,0,0.233483,34.958017,0,1,1699,4
"1403","KBK_2_0116",7,4,3,68.93,3.88,"M",61.92,0,1,0,4,0,0.23405,34.9637,0,1,1669,4
"1404","KBK_3_0096",4,1,3,25.83,1.81,"M",25.83,0,2,0,2,0,0.234083,34.970867,0,1,1748,4
"1405","KBK_1_0142",6,3,3,42.91,6.89,"M",42.91,0,0,0,3,0,0.234233,34.958133,0,1,1697,4
"1406","KBK_1_0134",7,2,5,55.87,1.84,"M",55.87,0,1,0,5,0,0.234533,34.955167,0,1,1689,4
"1407","KBK_3_0100",5,3,2,47.85,2.82,"F",47.85,0,1,0,4,0,0.235,34.9739,0,1,1776,5
"1408","KBK_3_0098",4,3,1,37.84,8.82,"F",37.84,4,0,0,3,0,0.235217,34.972483,0,1,1761,4
"1409","KBK_3_0099",4,2,2,67.86,16.82,"F",67.86,0,0,0,1,0,0.2353,34.973183,0,1,1768,4
"1410","KBK_1_0138",7,4,3,39.86,3.84,"M",39.86,0,2,0,5,0,0.235683,34.956567,0,1,1696,4
"1411","KBK_3_0097",1,1,0,63.86,63.86,"F",63.86,1,0,0,0,0,0.2358,34.972717,0,1,1768,4
"1412","KBK_1_0136",4,2,2,32.86,1.84,"M",32.86,0,2,0,2,0,0.235833,34.955783,0,1,1698,4
"1413","KBK_1_0140",7,3,4,50.92,0.88,"M",50.92,1,1,1,4,0,0.236467,34.9586,0,1,1709,4
"1414","KBK_2_0121",5,4,1,58.92,4.88,"F",58.92,5,1,0,2,0,0.236617,34.9648,0,1,1681,4
"1415","KBK_1_0139",5,2,3,50.92,7.89,"M",50.92,0,0,0,3,0,0.236617,34.960017,0,1,1694,4
"1416","KBK_2_0124",2,1,1,86.94,80.94,"M",86.94,0,0,0,0,0,0.237083,34.9629,0,1,1686,4
"1417","KBK_2_0123",5,2,3,26.9,1.88,"M",26.9,0,2,0,3,0,0.2373,34.962967,0,1,1685,4
"1418","KBK_2_0122",3,2,1,54.92,32.9,"M",54.92,0,0,0,0,0,0.237633,34.96325,0,1,1685,4
"1419","CHP_11_0182",5,4,1,31.24,1.39,"F",31.24,0,2,0,4,0,0.20084,34.93638,0,1,1632,4
"1420","KBK_3_0078",4,1,3,75.86,3.81,"M",75.86,0,2,0,2,0,0.22856,34.96909,0,2,1684,4
"1421","CHP_8_0062",2,1,1,26.36,17.19,"M",26.36,2,0,0,1,0,0.18137,34.97206,0,1,1798,4
"1422","CHP_8_0002",7,3,4,41.79,1.43,"M",41.79,1,2,0,5,0,0.18176,34.97302,0,1,1801,4
"1423","CHP_8_0060",7,3,4,45.79,7.77,"M",44.79,7,0,0,4,0,0.18185,34.97177,0,1,1803,4
"1424","CHP_8_0066",3,1,2,58.8,17.77,"M",58.8,2,0,0,1,1,0.18192,34.97267,0,1,1807,4
"1425","CHP_8_0004",4,1,3,49.79,4.18,"F",49.79,2,1,0,2,0,0.18196,34.97331,0,1,1803,5
"1426","CHP_8_0008",4,2,2,58.8,0.76,"M",58.8,4,1,1,1,0,0.18196,34.97387,0,1,1803,5
"1427","CHP_8_0014",5,3,2,58.8,19.78,"M",58.8,5,0,0,0,0,0.18205,34.97568,0,1,1812,5
"1428","CHP_8_0064",4,3,1,55.8,12.27,"M",55.8,2,0,0,2,0,0.1821,34.97212,0,1,1806,4
"1429","CHP_8_0081",5,3,2,53.47,4.18,"F",53.47,1,1,0,2,1,0.18211,34.97711,0,1,1814,4
