site,Sublocat,village,Collector,Subcode,Villcode,House,Elevation,Lat,Long,HHUNCODE,Sex,Age,HHhead,Relate,NetHH,HHspray,Lang
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0121,1647.000000,0.178667,34.923133,TIN160121,M,7.92,N,9,N,N,4.000000
High,Tindinyo,Kaptoi A,DAVID K. KOSGEI,TIN,16,0121,1647.000000,0.178667,34.923133,TIN160121,M,0.91,N,9,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0103,1663.000000,0.178683,34.925850,TIN190103,M,42.94,Y,1,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0103,1663.000000,0.178683,34.925850,TIN190103,M,13.92,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0103,1663.000000,0.178683,34.925850,TIN190103,M,10.92,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0103,1663.000000,0.178683,34.925850,TIN190103,M,6.92,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0036,1750.000000,0.178733,34.950983,TIN100036,M,46.39,Y,1,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0036,1750.000000,0.178733,34.950983,TIN100036,M,20.21,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0036,1750.000000,0.178733,34.950983,TIN100036,M,18.29,N,7,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0102,1664.000000,0.178733,34.925817,TIN190102,M,7.92,N,9,N,N,4.000000
High,Tindinyo,Emgit B,DAVID K. KOSGEI,TIN,19,0102,1664.000000,0.178733,34.925817,TIN190102,M,0.91,N,9,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0038,1750.000000,0.178817,34.950750,TIN100038,M,38.05,Y,1,N,N,5.000000
High,Tindinyo,Seminary,David sang,TIN,10,0054,1751.000000,0.178850,34.950183,TIN100054,M,12.20,N,7,N,Y,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0054,1751.000000,0.178850,34.950183,TIN100054,M,30.96,N,11,N,Y,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0074,1735.000000,0.178867,34.948500,TIN100074,M,52.06,Y,1,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0074,1735.000000,0.178867,34.948500,TIN100074,M,12.62,N,7,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0074,1735.000000,0.178867,34.948500,TIN100074,M,15.12,N,7,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0074,1735.000000,0.178867,34.948500,TIN100074,M,1.36,N,9,Y,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0107,1695.000000,0.178867,34.938283,TIN130107,M,27.75,Y,1,Y,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0107,1695.000000,0.178867,34.938283,TIN130107,M,2.74,N,7,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0046,1751.000000,0.178900,34.950633,TIN100046,M,36.47,Y,1,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0046,1751.000000,0.178900,34.950633,TIN100046,M,6.45,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0110,1712.000000,0.178900,34.945750,TIN100110,M,5.11,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0110,1712.000000,0.178900,34.945750,TIN100110,M,3.69,N,7,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0106,1693.000000,0.178917,34.938500,TIN130106,M,30.75,Y,1,N,N,4.000000
High,Tindinyo,Sirwa,DAVID K. KOSGEI,TIN,13,0106,1693.000000,0.178917,34.938500,TIN130106,M,3.73,N,7,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0042,1751.000000,0.178933,34.950650,TIN100042,M,8.53,N,11,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0042,1751.000000,0.178933,34.950650,TIN100042,M,6.19,N,11,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0042,1751.000000,0.178933,34.950650,TIN100042,M,4.61,N,11,N,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0080,1734.000000,0.178983,34.947883,TIN100080,M,10.28,N,9,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0080,1734.000000,0.178983,34.947883,TIN100080,M,29.38,N,7,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0080,1734.000000,0.178983,34.947883,TIN100080,M,9.11,N,9,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0080,1734.000000,0.178983,34.947883,TIN100080,M,2.53,N,9,Y,N,4.000000
High,Tindinyo,Seminary,David sang,TIN,10,0040,1749.000000,0.179000,34.950733,TIN100040,M,36.05,Y,1,Y,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0116,1692.000000,0.179117,34.942567,TIN210116,M,38.93,Y,1,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0116,1692.000000,0.179117,34.942567,TIN210116,M,6.91,N,7,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0116,1692.000000,0.179117,34.942567,TIN210116,M,4.91,N,7,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0106,1699.000000,0.179150,34.940717,TIN210106,M,85.96,Y,1,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0106,1699.000000,0.179150,34.940717,TIN210106,M,24.92,N,9,N,N,4.000000
High,Tindinyo,Milimani A,DAVID K. KOSGEI,TIN,21,0106,1699.000000,0.179150,34.940717,TIN210106,M,8.91,N,9,N,N,4.000000
